fold_id,amp_noise_prior,time_prior,dimension_prior,factor,ell_L_dm_t,ell_S_dm_t,ell_C_dm_t,ell_dL_t,ell_dS_t,ell_dC_t,ell_time,alpha_factor,sigma_factor,map_objective,optimizer_success,best_restart_name,final_jitter,n_train,pathology_flag
3,conservative_amp_noise,long_time,moderate_dims,L,2.2419809736491643,2.2480876183339698,2.2139071544330533,1.7089068697667256,1.7326948714709889,1.7103394659533162,2.1292103962945763,0.05953641150504847,0.996081411774,-1418.8113453714197,True,shrink_to_noise,1e-06,334,none
3,conservative_amp_noise,long_time,moderate_dims,S,2.2419809736491643,2.2480876183339698,2.2139071544330533,1.7089068697667256,1.7326948714709889,1.7103394659533162,2.1292103962945763,0.06032094723541816,0.9958331175853271,-1418.8113453714197,True,shrink_to_noise,1e-06,334,none
3,conservative_amp_noise,long_time,moderate_dims,C,2.2419809736491643,2.2480876183339698,2.2139071544330533,1.7089068697667256,1.7326948714709889,1.7103394659533162,2.1292103962945763,0.06976938132828393,0.9917169157595762,-1418.8113453714197,True,shrink_to_noise,1e-06,334,none
3,moderate_amp_noise,current_time,smooth_dims,L,2.629076329810639,2.7909108172023465,2.3890262065270744,2.1189790559923267,2.0866448626432663,2.1419071362460955,1.1644069870203917,0.09369491851471758,0.9939011533794413,-1417.0128929911932,True,shrink_to_noise,1e-06,334,none
3,moderate_amp_noise,current_time,smooth_dims,S,2.629076329810639,2.7909108172023465,2.3890262065270744,2.1189790559923267,2.0866448626432663,2.1419071362460955,1.1644069870203917,0.10157841128710272,0.992160255612986,-1417.0128929911932,True,shrink_to_noise,1e-06,334,none
3,moderate_amp_noise,current_time,smooth_dims,C,2.629076329810639,2.7909108172023465,2.3890262065270744,2.1189790559923267,2.0866448626432663,2.1419071362460955,1.1644069870203917,0.24868569220847442,0.9523545431266642,-1417.0128929911932,True,shrink_to_noise,1e-06,334,none
3,moderate_amp_noise,current_time,moderate_dims,L,1.9314502192100185,2.5287168060367695,1.479581476242907,0.9704313118454453,1.5369163785809195,1.8030512143922224,1.4492775564817832,0.1000352152097688,0.991706764668201,-1416.3724858386788,True,prior_median,1e-06,334,none
3,moderate_amp_noise,current_time,moderate_dims,S,1.9314502192100185,2.5287168060367695,1.479581476242907,0.9704313118454453,1.5369163785809195,1.8030512143922224,1.4492775564817832,0.1116999546589513,0.989060884208986,-1416.3724858386788,True,prior_median,1e-06,334,none
3,moderate_amp_noise,current_time,moderate_dims,C,1.9314502192100185,2.5287168060367695,1.479581476242907,0.9704313118454453,1.5369163785809195,1.8030512143922224,1.4492775564817832,0.739724083562272,0.7945904392388091,-1416.3724858386788,True,prior_median,1e-06,334,none
3,moderate_amp_noise,long_time,smooth_dims,L,2.3458479605365206,2.6667371594044997,2.160610264864678,2.1125005056991317,1.9331425703847613,2.0833989545226848,1.9206406248651213,0.09514479446498786,0.9935231918655981,-1417.8545774187935,True,time_sensitive,1e-06,334,none
3,moderate_amp_noise,long_time,smooth_dims,S,2.3458479605365206,2.6667371594044997,2.160610264864678,2.1125005056991317,1.9331425703847613,2.0833989545226848,1.9206406248651213,0.10486132835147156,0.9914517237664424,-1417.8545774187935,True,time_sensitive,1e-06,334,none
3,moderate_amp_noise,long_time,smooth_dims,C,2.3458479605365206,2.6667371594044997,2.160610264864678,2.1125005056991317,1.9331425703847613,2.0833989545226848,1.9206406248651213,0.3805642857114927,0.9249403872803684,-1417.8545774187935,True,time_sensitive,1e-06,334,none
3,moderate_amp_noise,long_time,moderate_dims,L,1.9816631060774343,2.5370554770365916,1.324487343676002,1.0090677640359083,1.567394958276658,1.6908387914384067,2.346122624720809,0.10001476863254669,0.9917475623687485,-1415.93204128425,True,moderate,1e-06,334,none
3,moderate_amp_noise,long_time,moderate_dims,S,1.9816631060774343,2.5370554770365916,1.324487343676002,1.0090677640359083,1.567394958276658,1.6908387914384067,2.346122624720809,0.11458770117509452,0.9884490951037372,-1415.93204128425,True,moderate,1e-06,334,none
3,moderate_amp_noise,long_time,moderate_dims,C,1.9816631060774343,2.5370554770365916,1.324487343676002,1.0090677640359083,1.567394958276658,1.6908387914384067,2.346122624720809,0.8071614304660003,0.776742305202456,-1415.93204128425,True,moderate,1e-06,334,none
