obs,panel_month,actual_quote_date,exact_calendar_first_of_month,M3,M6,M9,M12,M15,M18,M21,M24,M30,M36,M48,M60,M72,M84,M96,M108,M120
1987M03,1987-03,1987-03-02,False,5.5886311464562315,5.64520515194429,5.795682020488953,5.86689834060335,6.0744957960282235,6.10628718394462,6.179162117702164,6.248922126743453,6.346923098382444,6.441762418647998,6.641256111264052,6.605292891807822,6.8867118481985194,6.990154720452119,7.112387814558957,7.183264709815818,7.149151230502785
1987M04,1987-04,1987-04-01,True,5.63623437119206,5.909451233565913,6.007785730028082,6.240974760300523,6.389551980582329,6.456583729163419,6.545508829354127,6.5458957780837075,6.686354938369315,6.823486687238907,6.958731916180125,7.086712182227778,7.282673109187184,7.437288165412732,7.506649803416838,7.575954374433877,7.559849788389745
1987M05,1987-05,1987-05-01,True,5.723702583832853,6.161878116152913,6.445413485843915,6.899884127186878,7.09342657488455,7.1272533987547115,7.254018234975308,7.334421548897341,7.548964479938126,7.677000187279686,7.892171380276128,8.129328764135925,8.113779745258427,8.17029696143578,8.31542034984,8.282680374819137,8.305207773974942
1987M06,1987-06,1987-06-01,True,5.897541003030708,6.3300398241013935,6.487725369162707,7.063377605345228,7.21062949315477,7.372803549248136,7.513055854293474,7.547702876624461,7.691653635344344,7.824338104535819,7.977114054689351,7.939654403638739,8.161380604163867,8.302590775393941,8.411591393421034,8.408131683727586,8.362707633292118
1987M07,1987-07,1987-07-01,True,5.744193997072729,5.973450160773512,6.24139378441547,6.759091836402452,6.982625805088026,7.085724679715449,7.217700464025166,7.313644936776796,7.46082289401004,7.586157213428164,7.794002493815706,7.943493029717249,8.065204026779874,8.245365869382738,8.359641987726626,8.343310116492,8.291855093464783
1987M08,1987-08,1987-08-03,False,6.09931433290984,6.35882672161348,6.739393428477259,6.959575611995682,7.133550723888686,7.199534856307229,7.440051456819119,7.565653889303048,7.755438874928262,7.940217787176115,8.117457095014961,8.294736377223739,8.464982493985595,8.541111407260477,8.739045592515817,8.783656085216728,8.765336508593762
1987M09,1987-09,1987-09-01,True,6.270815400044507,6.481652089515487,6.908362490806725,7.213862837632336,7.385423687338511,7.581394231688201,7.724411630466397,7.831560785717915,7.994804857928711,8.158917535858745,8.335599216620839,8.12868427499122,8.678810099965876,8.799198509991772,8.986280144539876,9.021366736453784,8.993266505960326
1987M10,1987-10,1987-10-01,True,6.772416662734929,7.273850427659776,7.599303692803094,7.884429472136905,8.076003539107763,8.210324833273674,8.324448374076649,8.447316014236025,8.682341675680178,8.778491249146773,9.025682945275028,9.006020099427673,9.303819345306326,9.436823492337126,9.566250312292347,9.637323437049238,9.569189194720366
1987M11,1987-11,1987-11-02,False,5.709718824058623,6.415810710646307,6.80304577221364,6.931132019621714,7.340163358441626,7.523146995583499,7.620625358546141,7.632266116038069,7.970544262990526,8.098483206798223,8.412842652821375,8.47845888094931,8.705393104007769,8.811746743828886,8.975590400694964,8.99104677495443,8.902417294377715
1987M12,1987-12,1987-12-01,True,5.606141280497473,6.368460114681305,6.823499846338851,7.143534808456635,7.3391184451686975,7.4778613992591145,7.597835692683312,7.625922243275028,7.90011274333761,8.005697549234926,8.281041336486004,8.293974780811647,8.705566013247596,8.881828101026791,8.979204018954844,9.011885785025985,8.938486071034967
