date,panel_month,calendar_month_start,actual_quote_date,exact_calendar_first_of_month,calendar_days_after_month_start,n_raw,n_pass1,n_pass2,n_pass3,n_pass4,y3,y6,y9,y12,y15,y18,y21,y24,y30,y36,y48,y60,y72,y84,y96,y108,y120
2014-09-02,2014-09,2014-09-01,2014-09-02,False,1,278,278,278,278,278,0.00017755602403165597,0.0004720182931800001,0.0005127691134476495,0.0010555398769514022,0.002150904163344556,0.0032291614617460163,0.004439697854235004,0.005414871231895596,0.0077196053877705015,0.010223151644807535,0.01451296169362852,0.01713863874844411,0.019641556478107617,0.021448120313496546,0.02263758872731969,0.023975794685714345,0.024801312131777158
2014-10-01,2014-10,2014-10-01,2014-10-01,True,0,278,278,278,278,278,0.00010145962006549074,0.0003483406552337451,0.00043104249560358115,0.0010448552339294352,0.0020948752512137906,0.0030413387839911153,0.0041639426098946065,0.005393075722708075,0.007946017908086987,0.010391212202844951,0.014409395245901496,0.016956608779935073,0.01962798423527001,0.02137780190239572,0.02255206288356523,0.023658679379129525,0.02456325773991846
2014-11-03,2014-11,2014-11-01,2014-11-03,False,2,280,280,280,280,280,0.00013271343034126256,0.0005236668192017448,0.0007103975491475419,0.001407843624089728,0.0023213329200022542,0.0035277906125203867,0.004286045862121287,0.005316948146144406,0.007626623055027812,0.009905438534937718,0.013941607690705857,0.016560249082580997,0.01933557794698707,0.020813893806156177,0.02203883667118909,0.02317987251837797,0.024324746710564223
2014-12-01,2014-12,2014-12-01,2014-12-01,True,0,281,281,281,281,281,0.00012886375898164525,0.0007357082167247164,0.0009783723279375531,0.0016693684195513096,0.002211830604430427,0.0028865123470080594,0.003925418496277264,0.005031947110259172,0.007391621767155046,0.009598819913953014,0.013081895941277524,0.015514741117902337,0.018212628700593463,0.01978584909417055,0.020907773673827103,0.022119227871385802,0.02306043694325398
2015-01-02,2015-01,2015-01-01,2015-01-02,False,1,283,283,283,283,283,0.00020292181373513578,0.0011245145449075684,0.0016751143147168157,0.0027077404838718104,0.003944194991580412,0.00497038091405987,0.005817897407427182,0.006890196069458935,0.009034612220545895,0.01105214967228581,0.014350830084991103,0.016120030790037907,0.018288739142693577,0.019383787665336504,0.020154806693244435,0.02089301783955027,0.02164234315417234
2015-02-02,2015-02,2015-02-01,2015-02-02,False,1,284,284,284,284,284,0.00013271343034117571,0.0005567429312023464,0.0009671612381965778,0.001758046796484198,0.0026830478270122473,0.0030173360464427713,0.003964889384329622,0.00469832040808324,0.006306559576715318,0.008029268870614939,0.01043213759674092,0.011914532166877819,0.013981467484574605,0.014982479456140972,0.015750821613706438,0.016531820139433964,0.017145977528240347
2015-03-02,2015-03,2015-03-01,2015-03-02,False,1,284,284,284,284,284,0.0001424518833465104,0.0007606297514165723,0.0012374475581535226,0.002476126874973879,0.003831037334720723,0.004722107158368874,0.005766664413390784,0.0067681340803679435,0.00903265133233277,0.01091703352442866,0.014115558783423228,0.015883471855044226,0.018049635938624086,0.019215655275834156,0.019923935746187633,0.02078798970280096,0.021296757655487098
2015-04-01,2015-04,2015-04-01,2015-04-01,True,0,286,286,286,286,286,0.0001626086844972711,0.000984025742207616,0.0015666822169836448,0.002642279822118002,0.0036099460382135744,0.004182734347930762,0.0048597420435126425,0.005399632700835254,0.007128768109344841,0.008751205045715593,0.011458214686613174,0.013282296539363157,0.015417714918772031,0.01663922553878049,0.017566461670681394,0.018521465187851006,0.018912646726149906
2015-05-01,2015-05,2015-05-01,2015-05-01,True,0,287,287,287,287,287,0.00010145962007629309,0.0004765532968792981,0.0014260555547559658,0.00289412733409965,0.003820415110686878,0.004720264873517352,0.005386718197594169,0.006163972894222306,0.008062059671481917,0.009680008533342383,0.012967654062205446,0.015119474328243829,0.01760018425688138,0.018949306436389028,0.02007489651621254,0.021000587343335073,0.021751171275729897
2015-06-01,2015-06,2015-06-01,2015-06-01,True,0,286,286,286,286,286,5.072948834344798e-05,0.0005639153087716653,0.0016885033900673448,0.003080587347974902,0.003955346590806962,0.005072305281692226,0.005740275577661891,0.006499331200858375,0.008321278777149173,0.010037647912662158,0.013301283257861693,0.015591745645316363,0.01811929360481365,0.019509324373658328,0.020756547131676933,0.021803803521146064,0.022235746413666057
